"sous_groupe";"id_aliment";"nom";"calories_kcal_100g";"proteines_g_100g";"glucides_g_100g";"lipides_g_100g";"sucres_g_100g";"ag_satures_g_100g";"fibres_g_100g";"sel_g_100g";"sodium_mg_100g";"calcium_mg_100g";"fer_mg_100g";"magnesium_mg_100g";"potassium_mg_100g";"zinc_mg_100g";"vitamine_d_µg_100g";"vitamine_e_mg_100g";"vitamine_b1_mg_100g";"vitamine_b2_mg_100g";"vitamine_b3_mg_100g";"vitamine_b5_mg_100g";"vitamine_b12_µg_100g";"eau_g_100g"
"herbes";"11080";"Herbes aromatiques fraîches (aliment moyen)";"51.2";"3.26";"4.69";"0.93";"1.89";"0.25";"5.53";"0.28";"32";"178";"6.53";"62.9";"493";"1.02";"0.0002";"0";"0.072";"0.15";"1.19";"0.35";"0";"83.8"
"épices";"11081";"Epice (aliment moyen)";"327";"12.6";"37.8";"7.85";"2.09";"2.56";"27.7";"0.059";"23.7";"479";"18";"186";"1430";"1.63";"0.086";"0";"0.12";"0.087";"1.52";"1.65";"0";"9.23"
"sels";"11082";"Fleur de sel, non iodée, non fluorée";"0";"0";"0";"0";"0";"0";"0";"94.3";"37700";"171";"0";"424";"103";"0";"0";"0";"0";"0";"0";"0";"0";"3.75"
"sels";"11083";"Sel marin gris, non iodé, non fluoré";"0";"0";"0";"0";"0";"0";"0";"80.5";"32200";"181";"0";"503";"99.3";"0";"0";"0";"0";"0";"0";"0";"0";"5.09"
"algues";"11084";"Agar (algue), frais, cru";"28.4";"0.54";"6.25";"0.03";"0.28";"0.006";"0.5";"0.023";"9";"54";"1.86";"67";"226";"0.58";"0";"0";"0.005";"0.022";"0.055";"0.3";"0";"91.3"
"algues";"11085";"Agar (algue), séché";"0";"6.21";"0";"0.3";"2.97";"0.061";"0";"0.26";"102";"625";"21.4";"770";"1130";"5.8";"0";"0";"0.01";"0.22";"0.2";"3.02";"0";"8.68"
"algues";"11086";"Spiruline (Spirulina sp.), séchée ou déshydratée";"374";"60.4";"17.7";"6.27";"1.23";"3.28";"2.71";"1.89";"755";"469";"80.6";"615";"1560";"4.26";"0";"11.2";"4.19";"2.61";"9.11";"0.9";"0";"5.39"
"épices";"11088";"Poivre de Cayenne ou piment de Cayenne, poudre";"376";"12";"29.4";"17.3";"10.3";"3.26";"27.2";"0.075";"30";"148";"7.8";"152";"2010";"2.48";"0";"0";"0.33";"0.92";"8.7";"0";"0";"8.05"
"épices";"11089";"Curcuma, poudre";"291";"9.68";"44.4";"3.25";"3.21";"1.84";"22.7";"0.068";"27";"168";"55";"208";"2080";"4.5";"0";"0";"0.058";"0.15";"1.35";"0.54";"0";"12.9"
"condiments";"11090";"Vinaigre de cidre";"0";"0";"0.93";"0";"0.4";"0";"0";"0.013";"5";"7";"0.2";"5";"73";"0.04";"0";"0";"0";"0";"0";"0";"0";"93.8"
"condiments";"11091";"Vinaigre balsamique";"91.7";"0.69";"18";"0.6";"18";"0";"0.75";"0.068";"27";"18";"0.95";"12";"160";"0.12";"0.25";"0";"0.015";"0.01";"0.1";"0.072";"0";"77"
"herbes";"11092";"Estragon, frais";"0";"3.8";"4.1";"0";"1.2";"0.6";"6.2";"0.025";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"herbes";"11093";"Aneth, frais";"48.2";"3.93";"3.9";"1.1";"1.2";"0.34";"3.5";"0.15";"27";"202";"5.5";"28";"647";"1.8";"0";"0";"0.19";"0.43";"2.4";"0.3";"0";"86"
"herbes";"11094";"Coriandre, fraiche";"22.3";"2.13";"0.87";"0.52";"0.87";"0.014";"2.8";"0.12";"46";"67";"1.77";"26";"521";"0.5";"0";"0";"0.067";"0.16";"1.11";"0.57";"0";"92.2"
"herbes";"11095";"Ciboulette, séchée";"0";"0";"38.1";"3.5";"0";"0.59";"26.2";"0.18";"70";"813";"20";"640";"2960";"5.12";"0";"0";"0.9";"1.5";"5.9";"2.11";"0";"2"
"sels";"11096";"Sel blanc alimentaire, iodé, fluoré à 25 mg /100 g (marin, ignigène ou gemme)";"0";"0";"0";"0";"0";"0";"0";"97.8";"39100";"13.3";"0";"3.15";"16.9";"0";"0";"0";"0";"0";"0";"0";"0";"0.027"
"condiments";"11097";"Cornichon, aigre-doux";"36";"1.25";"5";"0.35";"4";"0";"1.5";"0.94";"376";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"91.5"
"aides culinaires";"11098";"Vanille, extrait aqueux";"57.7";"0.03";"14.4";"0";"14.4";"0";"0";"0.0075";"3";"3";"0.05";"1";"0";"0.01";"0";"0";"0.003";"0.029";"0.13";"0.011";"0";"85.6"
"sauces";"11100";"Sauce barbecue, préemballée";"136";"0.56";"30.3";"0.6";"27.5";"0.1";"1.2";"1.77";"706";"46";"0.93";"12";"220";"0.1";"0.25";"0";"0.015";"0.01";"0.53";"0.096";"0";"63.4"
"sauces";"11101";"Sauce béchamel, préemballée";"105";"2.56";"6.2";"7.4";"3.1";"4.61";"1.3";"0.69";"274";"82.3";"0.1";"7.52";"126";"0.27";"0.5";"0.17";"0.04";"0.12";"0.27";"0.27";"0.17";"81.3"
"sauces";"11102";"Sauce béarnaise, préemballée";"455";"0.88";"4.87";"47.7";"2.3";"3.55";"0.13";"1.95";"778";"15";"0.27";"2.5";"39";"0.17";"0.25";"0";"0.015";"0.018";"0.1";"0.22";"0.18";"43.6"
"sauces";"11104";"Sauce soja, préemballée";"39.9";"7.25";"1.72";"0.5";"0";"0.006";"0.9";"13.1";"5250";"28.9";"2.1";"60.9";"375";"0.78";"0";"0";"0.03";"0.1";"0.2";"0.15";"0.1";"75.4"
"sauces";"11105";"Sauce hollandaise, préemballée";"197";"1.19";"3.2";"19.8";"0.7";"7.23";"0.5";"1.19";"476";"17";"0.2";"2.6";"62";"0.18";"0.25";"0";"0.015";"0.054";"0.1";"0.26";"0.15";"72.5"
"sauces";"11107";"Sauce tomate aux oignons, préemballée";"78.8";"1.52";"7.69";"4.18";"5.44";"0.49";"2.17";"1.17";"467";"24.4";"0.58";"24.7";"553";"0.17";"0";"0";"0.027";"0.093";"0.86";"0.31";"0";"84.7"
